No;Tanggal;Keterangan;PCS;Harga;Jumlah;;;;
170;06/07/2023;Tali Surta 30 M;1; Rp825,000 ; Rp825,000 ;;;;
171;06/07/2023; Gerbox dll ;1; Rp460,000 ; Rp460,000 ;;;;
172;06/07/2023; 1 pak K las RB26 ;1; Rp175,500 ; Rp175,500 ;;;;
173;07/07/2023;perbaikan, ganti gerbok dan cincin has gerbok;1; Rp3,000,000 ; Rp3,000,000 ;;;;
174;07/07/2023;stempel laser;1; Rp200,000 ; Rp200,000 ;;;;
175;10/07/2023; Pakop Rd 8 dan TH rebon Grey ;1; Rp440,000 ; Rp440,000 ;;;;
176;10/07/2023; teng zuur  ;1; Rp130,000 ; Rp130,000 ;;;;
177;10/07/2023; kasa gulung, hansaplas dll ;1; Rp80,000 ; Rp80,000 ;;;;
178;12/07/2023;sigel 5/6 dan segel 1/2;1; Rp107,000 ; Rp107,000 ;;;;
179;12/07/2023;segel dapra 5/8 dan segel 12 ton;1; Rp890,000 ; Rp890,000 ;;;;
180;15/07/2023;TBA 0,8;1; Rp75,000 ; Rp75,000 ;;;;
181;15/07/2023;selang solar, jet oil ring liner dan lem dexton;1; Rp1,080,000 ; Rp1,080,000 ;;;;
182;15/07/2023;karet mthri;1; Rp240,000 ; Rp240,000 ;;;;
183;16/07/2023;lem nguli dan slem putih;1; Rp30,000 ; Rp30,000 ;;;;
184;17/07/2023;lem epoxy;1; Rp67,000 ; Rp67,000 ;;;;
185;17/07/2023;ring piston;1; Rp125,000 ; Rp125,000 ;;;;
186;18/07/2023;lem epoxy;1; Rp68,000 ; Rp68,000 ;;;;
187;18/07/2023;stng + pisto + reng;1; Rp2,500,000 ; Rp2,500,000 ;;;;
188;18/07/2023;liner, dan seal;1; Rp2,950,000 ; Rp2,950,000 ;;;;
189;19/07/2023;piston, pipa dll;1; Rp1,385,000 ; Rp1,385,000 ;;;;
190;19/07/2023;kligrit;1; Rp375,000 ; Rp375,000 ;;;;
191;19/07/2023;jepit palang arjun;1; Rp189,000 ; Rp189,000 ;;;;
192;21/07/2023;b 36 bando;1; Rp112,000 ; Rp112,000 ;;;;
193;24/07/2023;pasang len AV;1; Rp75,000 ; Rp75,000 ;;;;
194;24/07/2023;laminating;1; Rp36,000 ; Rp36,000 ;;;;
195;27/07/2023;oli pertamina, sepatu septi;1; Rp10,950,000 ; Rp10,950,000 ;;;;
196;27/07/2023;panadol merah, panadol hijau dan obat-obatan lainnya;1; Rp122,500 ; Rp122,500 ;;;;
197;27/07/2023;stempel laser dan plat kapal;1; Rp300,000 ; Rp300,000 ;;;;
198;27/07/2023;Tali Surta 30 M;1; Rp825,000 ; Rp825,000 ;;;;
199;27/07/2023;tali cir, cat sun merah dll;1; Rp4,025,000 ; Rp4,025,000 ;;;;
200;27/07/2023;lem ovoksi non sea;1; Rp150,000 ; Rp150,000 ;;;;
201;27/07/2023;10 M hj;1; Rp125,000 ; Rp125,000 ;;;;
202;27/07/2023;bato pot, betel topi jumbo dll;1; Rp477,500 ; Rp477,500 ;;;;
203;27/07/2023;kuas cat, jas hujan dan majun ;1; Rp280,000 ; Rp280,000 ;;;;
204;27/07/2023;headlamp;1; Rp100,000 ; Rp100,000 ;;;;
205;27/07/2023;fc 1805, o -1012 dll;1; Rp1,200,000 ; Rp1,200,000 ;;;;
206;27/07/2023;helm msk kuning, baju atasan cream dan asgard;1; Rp465,000 ; Rp465,000 ;;;;
207;27/07/2023;bantal kampuk;1; Rp110,000 ; Rp110,000 ;;;;
208;27/07/2023;ptt rudin kemuara;1; Rp250,000 ; Rp250,000 ;;;;
209;27/07/2023;safety vost, lifa jacket dan sofoty shoes;1; Rp1,640,000 ; Rp1,640,000 ;;;;
210;29/07/2023;lem red dan baut L;1; Rp220,000 ; Rp220,000 ;;;;
211;31/07/2023;TBA;1; Rp100,000 ; Rp100,000 ;;;;
212;31/07/2023;isi caler, O ring dll;1; Rp9,525,000 ; Rp9,525,000 ;;;;
213;31/07/2023;Fotocopy, Print dan laminating;1; Rp29,500 ; Rp29,500 ;;;;
214;04/08/2023;Aki N120 incoe;1; Rp1,765,000 ; Rp1,765,000 ;;;;
215;04/08/2023;cat sun merah, cat sun putih, cat jotun + curing;1; Rp800,000 ; Rp800,000 ;;;;
216;04/08/2023;tali puih;1; Rp45,000 ; Rp45,000 ;;;;
217;04/08/2023; Thinner A umrlang dll ;1; Rp210,000 ; Rp210,000 ;;;;
218;04/08/2023; plat 10 mm, dan plat 4mm ;1; Rp3,500,000 ; Rp3,500,000 ;;;;
219;04/08/2023;Pan ball B-81;1; Rp55,000 ; Rp55,000 ;;;;
220;04/08/2023;plat 92 kg;1; Rp1,196,000 ; Rp1,196,000 ;;;;
221;04/08/2023; B 82 PW ;1; Rp105,000 ; Rp105,000 ;;;;
222;05/08/2023; Dinamo, dll ;1; Rp435,000 ; Rp435,000 ;;;;
223;05/08/2023; RB 26 3,2 M, Rb 26 4 ml dll ;1; Rp678,000 ; Rp678,000 ;;;;
224;07/08/2023;perbaikan daku tida, daunlas dll;1; Rp3,000,000 ; Rp3,000,000 ;;;;
225;08/08/2023;B Manel 3/4 x 3 + 2 mor dll;1; Rp300,000 ; Rp300,000 ;;;;
226;08/08/2023;Bikin tempat waterpump;1; Rp1,000,000 ; Rp1,000,000 ;;;;
227;11/08/2023;DP repair as propeler las dan bubut dll;1; Rp3,000,000 ; Rp3,000,000 ;;;;
228;11/08/2023;pipa muyak agu aizu 05;1; Rp500,000 ; Rp500,000 ;;;;
229;14/08/2023; Philips led dll ;1; Rp565,437 ; Rp565,437 ;;;;
230;14/08/2023;desk fan;1; Rp214,000 ; Rp214,000 ;;;;
231;14/08/2023;Vlove RJ;1; Rp52,000 ; Rp52,000 ;;;;
232;14/08/2023;Fl 1005 dll;1; Rp820,000 ; Rp820,000 ;;;;
233;14/08/2023; Aki N120 65 ;1; Rp1,985,000 ; Rp1,985,000 ;;;;
234;14/08/2023; B air 55 3/4 x 4 55 tm ;1; Rp258,000 ; Rp258,000 ;;;;
235;14/08/2023;Majun;1; Rp120,000 ; Rp120,000 ;;;;
236;14/08/2023;Kawat Las;1; Rp15,000 ; Rp15,000 ;;;;
237;14/08/2023;sarung tangan bintik, bor baut;1; Rp95,000 ; Rp95,000 ;;;;
238;14/08/2023;Isi Filter RD;1; Rp40,000 ; Rp40,000 ;;;;
239;14/08/2023; Ring boy, sepatu sefety ;1; Rp850,000 ; Rp850,000 ;;;;
240;15/08/2023;Ring piston dll;1; Rp190,000 ; Rp190,000 ;;;;
241;15/08/2023;Hit ins spry dll;1; Rp82,400 ; Rp82,400 ;;;;
242;15/08/2023;Tempat sendok;1; Rp7,000 ; Rp7,000 ;;;;
243;15/08/2023;Masker ;1; Rp23,000 ; Rp23,000 ;;;;
244;16/08/2023;BLM;1; Rp90,000 ; Rp90,000 ;;;;
245;18/08/2023;Tilam kapuk;1; Rp270,000 ; Rp270,000 ;;;;
246;18/08/2023;Kuas cat dll;1; Rp107,500 ; Rp107,500 ;;;;
247;18/08/2023;cat suny hitam dan tinner sun;1; Rp775,000 ; Rp775,000 ;;;;
248;01/09/2023;cat sun merah 5 ltr, hitam 20 ltr dan thiner ;1; Rp1,275,000 ; Rp1,275,000 ;;;;
249;04/09/2023;Plate 12 MM dan plat 10 MM;1; Rp3,400,000 ; Rp3,400,000 ;;;;
250;04/09/2023;Plat 10 mm, monel dan tangkupan;1; Rp4,020,000 ; Rp4,020,000 ;;;;
251;04/09/2023;Tabung O2 2 biji;2; Rp120,000 ; Rp240,000 ;;;;
252;04/09/2023; Hit, paseo dan lain lain ;1; Rp122,500 ; Rp122,500 ;;;;
253;06/09/2023;Tabung O2 2 biji;1; Rp120,000 ; Rp120,000 ;;;;
254;07/09/2023;Cat Jotun putih 5 ltr;1; Rp300,000 ; Rp300,000 ;;;;
255;07/09/2023;Batery charge eko 40 Amp, ganti cepitan accu , baterai charger DELTA;1; Rp400,000 ; Rp400,000 ;;;;
256;07/09/2023; B/M Monel M20X902 +R Ver M20 ;1; Rp384,000 ; Rp384,000 ;;;;
257;07/09/2023; Kuas ;1; Rp75,000 ; Rp75,000 ;;;;
258;07/09/2023; B. Baja 1X8, R plat baja dan R per baja ;1; Rp131,000 ; Rp131,000 ;;;;
259;07/09/2023; baut tanpa nota ;1; Rp60,000 ; Rp60,000 ;;;;
260;09/09/2023;Baut monil dan mour;1; Rp158,000 ; Rp158,000 ;;;;
261;09/09/2023;baut tanpa nota;1; Rp20,000 ; Rp20,000 ;;;;
262;11/09/2023;Cat meni, Cat hitamm cat hijau putih merah dan thiner;1; Rp2,325,000 ; Rp2,325,000 ;;;;
263;11/09/2023;Plat 12 m, plat 10 m 1 dus kawat;1; Rp5,700,000 ; Rp5,700,000 ;;;;
264;11/09/2023;Tabung O2 2 biji;2; Rp120,000 ; Rp240,000 ;;;;
265;11/09/2023;Rol Fia, Sikat gerinda kpg, sikat gerinda Toda dan sikat gerinda polos wpr;1; Rp255,000 ; Rp255,000 ;;;;
266;11/09/2023; nyyhy 2x0 75 eterna-m ;1; Rp96,000 ; Rp96,000 ;;;;
267;11/09/2023;Barist;1; Rp64,000 ; Rp64,000 ;;;;
268;13/09/2023;Tabung O2 3 biji;3; Rp120,000 ; Rp360,000 ;;;;
269;19/09/2023;Lem Epokxy;1; Rp75,000 ; Rp75,000 ;;;;
270;19/09/2023; Kabel PC ;1; Rp100,000 ; Rp100,000 ;;;;
271;19/09/2023;tali cir ukuran 6 dan tali ukuran 1 inc;1; Rp3,970,000 ; Rp3,970,000 ;;;;
272;26/09/2023;Oli pertamina 2 drum;2; Rp6,200,000 ; Rp12,400,000 ;;;;
273;26/09/2023;Kabel onat;1; Rp22,000 ; Rp22,000 ;;;;
274;26/09/2023;Tali ukuran I m;30; Rp22,000 ; Rp660,000 ;;;;
275;26/09/2023; cat sun hijau dan cat sun putih ;1; Rp1,000,000 ; Rp1,000,000 ;;;;
276;26/09/2023;Balon;2; Rp50,000 ; Rp100,000 ;;;;
277;27/09/2023;Susu beruang;1; Rp273,000 ; Rp273,000 ;;;;
278;27/09/2023;Piklos;1; Rp260,000 ; Rp260,000 ;;;;
279;27/09/2023;F 1802, fc 1805, O-1806, O-1808 dan 1805-1;1; Rp1,040,000 ; Rp1,040,000 ;;;;
280;27/09/2023;Sarung tangan bintik, rexco 50-350, kliem slang benang dan reco 50-350;1; Rp552,000 ; Rp552,000 ;;;;
281;27/09/2023;K ring pas ats 28;1; Rp152,000 ; Rp152,000 ;;;;
282;27/09/2023;Gayung, sikat dorong dan pel lantai;1; Rp79,000 ; Rp79,000 ;;;;
283;27/09/2023;G 70 Power;1; Rp126,000 ; Rp126,000 ;;;;
284;27/09/2023;Tali ukuran 32 mm, tali ukuran 1 24 mm;1; Rp1,270,000 ; Rp1,270,000 ;;;;
285;27/09/2023;Batu pot kinik, batu pot resbon, gergaji besi dan obeng ketok;1; Rp188,000 ; Rp188,000 ;;;;
286;28/09/2023;Pergantian pembelian di kapal;1; Rp314,000 ; Rp314,000 ;;;;
287;02/10/2023;Kawat las;1; Rp300,000 ; Rp300,000 ;;;;
288;03/10/2023;Kabel las;1; Rp600,000 ; Rp600,000 ;;;;
289;03/10/2023;Slun 70;1; Rp50,000 ; Rp50,000 ;;;;
290;03/10/2023;tab 20 rascal;1; Rp1,850,000 ; Rp1,850,000 ;;;;
291;11/10/2023;Inverter;1; Rp325,000 ; Rp325,000 ;;;;
